
Rows,ID,Item,Amount,
010,1,OWN FUNDS,
015,1.1,TIER 1 CAPITAL,
020,1.1.1,COMMON EQUITY TIER 1 CAPITAL,
030,1.1.1.1,Capital instruments eligible as CET1 Capital,
040,1.1.1.1.1,Paid up capital instruments ,
050,1.1.1.1.2*,Memorandum item: Capital instruments not eligible,
060,1.1.1.1.3,Share premium,
070,1.1.1.1.4,(-) Own CET1 instruments,
080,1.1.1.1.4.1,(-) Direct holdings of CET1 instruments,
090,1.1.1.1.4.2,(-) Indirect holdings of CET1 instruments,
091,1.1.1.1.4.3,(-) Synthetic holdings of CET1 instruments,
092,1.1.1.1.5,(-) Actual or contingent obligations to purchase own CET1 instruments,
130,1.1.1.2,Retained earnings,
140,1.1.1.2.1,Previous years retained earnings,
150,1.1.1.2.2,Profit or loss eligible,
160,1.1.1.2.2.1,Profit or loss attributable to owners of the parent,
170,1.1.1.2.2.2,(-) Part of interim or year-end profit not eligible,
180,1.1.1.3,Accumulated other comprehensive income,
200,1.1.1.4,Other reserves,
210,1.1.1.5,Funds for general banking risk,
220,1.1.1.6,Transitional adjustments due to grandfathered CET1 Capital instruments,
230,1.1.1.7,Minority interest given recognition in CET1 capital,
240,1.1.1.8,Transitional adjustments due to additional minority interests,
250,1.1.1.9,Adjustments to CET1 due to prudential filters,
260,1.1.1.9.1,(-) Increasesin equity resulting from securitised assets,
270,1.1.1.9.2,Cash flow hedge reserve,
280,1.1.1.9.3,Cumulative gains and losses due to changes in own credit risk on fair valued liabilities,
285,1.1.1.9.4,Fair value gains and losses arising from the institution's own credit risk related to derivative liabilities,
290,1.1.1.9.5,(-) Value adjustments due to the requirements for prudent valuation,
300,1.1.1.10,(-) Goodwill,
310,1.1.1.10.1,(-) Goodwill accounted for as intangible asset,
320,1.1.1.10.2,(-) Goodwill included in the valuation of significant investments,
330,1.1.1.10.3,Deferred tax liabilities associated to goodwill,
340,1.1.1.11,(-) Other intangible assets,
350,1.1.1.11.1,(-) Other intangible assets gross amount,
360,1.1.1.11.2,Deferred tax liabilities associated to other intangible assets,
370,1.1.1.12,(-) Deferred tax assets that rely on future profitability and do not arise from temporary differences net of associated tax liabilities,
380,1.1.1.13,(-) IRB shortfall of credit risk adjustments to expected losses,
390,1.1.1.14,(-)Defined benefit pension fund assets,
400,1.1.1.14.1,(-)Defined benefit pension fund assets gross amount,
410,1.1.1.14.2,Deferred tax liabilities associated to defined benefit pension fund assets,
420,1.1.1.14.3,Defined benefit pension fund assets which the institution has an unrestricted ability to use,
430,1.1.1.15,(-) Reciprocal cross holdings in CET1 Capital,
440,1.1.1.16,(-) Excess of deduction from AT1 items over AT1 Capital ,
450,1.1.1.17,(-) Qualifying holdings outside the financial sector which can alternatively be subject to a 1.250% risk weight,
460,1.1.1.18,(-) Securitisation positions which can alternatively be subject to a 1.250% risk weight,
